City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,starogard gdanski,53.964,18.5264,19.73,73,73,2.88,PL,1723867078
156,sinabang,2.4803,96.3801,28.18,80,39,2.23,ID,1723867079
157,papatowai,-46.5619,169.4708,6.73,97,100,1.66,NZ,1723867080
158,west island,-12.1568,96.8225,25.99,89,67,10.29,CC,1723867082
159,ca mau,9.1769,105.15,35.63,42,100,2.21,VN,1723867083
160,colonia,50.9333,6.95,21.09,90,40,1.54,DE,1723867084
161,sao tome,0.3365,6.7273,23.75,86,83,4.48,ST,1723867086
162,pangai,-19.8,-174.35,24.06,69,75,8.23,TO,1723867087
163,tolanaro,-25.0319,46.9987,18.04,88,75,2.06,MG,1723867088
164,eynesil,41.0645,39.1438,21.74,68,1,2.62,TR,1723867089
165,mar del plata,-38.0023,-57.5575,8.96,86,40,4.12,AR,1723867091
166,dogansehir,38.0919,37.8789,18.38,47,57,3.56,TR,1723867092
167,polyarnyy,69.1989,33.4478,15.24,91,100,4.41,RU,1723867094
168,tonghae,37.5439,129.1069,28.46,71,28,2.62,KR,1723867095
169,dunedin,-45.8742,170.5036,13.22,70,99,1.56,NZ,1723867096
170,minas de marcona,-15.2119,-75.1103,9.95,91,29,3.63,PE,1723867098
171,thompson,55.7435,-97.8558,13.09,76,20,1.03,CA,1723867099
172,nago,26.5881,127.9761,31.19,66,92,3.9,JP,1723867100
173,san julian,21.0167,-102.1667,15.33,96,100,3.38,MX,1723867102
174,coahuayana de hidalgo,18.7,-103.6583,25.63,89,90,0.75,MX,1723867103
175,nagqu,31.5,92.0,10.21,44,0,2.22,CN,1723867104
176,erbil,36.1926,44.0106,26.9,34,0,2.06,IQ,1723867106
177,kenai,60.5544,-151.2583,15.57,92,0,12.86,US,1723867107
178,flin flon,54.7682,-101.865,16.19,54,51,2.7,CA,1723867108
179,chernyshevsk,52.5243,117.0174,23.12,30,98,3.36,RU,1723867109
180,frontera,26.9333,-101.45,32.16,46,6,1.79,MX,1723867111
181,yuzhno-sukhokumsk,44.6581,45.6436,22.77,26,1,1.79,RU,1723867112
182,georgetown,5.4112,100.3354,30.96,74,20,1.54,MY,1723867114
183,kroya,-7.6331,109.2461,29.68,61,55,4.92,ID,1723867115
184,liwale,-9.7667,37.9333,17.48,76,6,2.09,TZ,1723867116
185,kone,-21.0595,164.8658,29.58,46,7,0.56,NC,1723867118
186,nar'yan-mar,67.6713,53.087,13.38,68,4,5.18,RU,1723867119
187,perleberg,53.0667,11.8667,19.36,85,98,1.87,DE,1723867120
